grupos_classificados,jogo_74,jogo_77,jogo_79,jogo_80,jogo_81,jogo_82,jogo_85,jogo_87
ABCDEFGH,A,C,F,E,B,H,G,D
ABCDEFGI,A,C,F,E,B,I,G,D
ABCDEFGJ,A,C,F,E,B,J,G,D
ABCDEFGK,A,C,F,K,B,E,G,D
ABCDEFGL,B,D,C,E,F,A,G,L
ABCDEFHI,A,C,E,H,B,I,F,D
ABCDEFHJ,A,C,E,H,B,J,F,D
ABCDEFHK,A,C,E,K,B,H,F,D
ABCDEFHL,A,D,C,E,B,H,F,L
ABCDEFIJ,A,C,E,I,B,J,F,D
ABCDEFIK,A,C,E,K,B,I,F,D
ABCDEFIL,A,D,C,E,B,I,F,L
ABCDEFJK,A,C,E,K,B,J,F,D
ABCDEFJL,A,D,C,E,B,J,F,L
ABCDEFKL,A,D,C,K,B,E,F,L
ABCDEGHI,A,C,E,H,B,I,G,D
ABCDEGHJ,A,C,E,H,B,J,G,D
ABCDEGHK,A,C,E,K,B,H,G,D
ABCDEGHL,A,D,C,E,B,H,G,L
ABCDEGIJ,A,C,E,I,B,J,G,D
ABCDEGIK,A,C,E,K,B,I,G,D
ABCDEGIL,A,D,C,E,B,I,G,L
ABCDEGJK,A,C,E,K,B,J,G,D
ABCDEGJL,A,D,C,E,B,J,G,L
ABCDEGKL,A,D,C,K,B,E,G,L
ABCDEHIJ,A,C,E,H,B,I,J,D
ABCDEHIK,A,C,E,K,B,H,I,D
ABCDEHIL,A,D,C,E,B,H,I,L
ABCDEHJK,A,C,E,K,B,H,J,D
ABCDEHJL,A,D,C,E,B,H,J,L
ABCDEHKL,A,D,C,K,B,H,E,L
ABCDEIJK,A,C,E,K,B,I,J,D
ABCDEIJL,A,D,C,E,B,I,J,L
ABCDEIKL,A,D,C,K,B,E,I,L
ABCDEJKL,A,D,C,K,B,E,J,L
ABCDFGHI,A,C,F,H,B,I,G,D
ABCDFGHJ,A,C,F,H,B,J,G,D
ABCDFGHK,A,C,F,K,B,H,G,D
ABCDFGHL,B,D,C,H,F,A,G,L
ABCDFGIJ,A,C,F,I,B,J,G,D
ABCDFGIK,A,C,F,K,B,I,G,D
ABCDFGIL,B,D,C,I,F,A,G,L
ABCDFGJK,A,C,F,K,B,J,G,D
ABCDFGJL,B,D,C,J,F,A,G,L
ABCDFGKL,B,D,C,K,F,A,G,L
ABCDFHIJ,A,C,F,H,B,I,J,D
ABCDFHIK,A,C,F,K,B,H,I,D
ABCDFHIL,A,D,C,H,B,I,F,L
ABCDFHJK,A,C,F,K,B,H,J,D
ABCDFHJL,A,D,C,H,B,J,F,L
ABCDFHKL,A,D,C,K,B,H,F,L
ABCDFIJK,A,C,F,K,B,I,J,D
ABCDFIJL,A,D,C,I,B,J,F,L
ABCDFIKL,A,D,C,K,B,I,F,L
ABCDFJKL,A,D,C,K,B,J,F,L
ABCDGHIJ,A,C,H,I,B,J,G,D
ABCDGHIK,A,C,H,K,B,I,G,D
ABCDGHIL,A,D,C,H,B,I,G,L
ABCDGHJK,A,C,H,K,B,J,G,D
ABCDGHJL,A,D,C,H,B,J,G,L
ABCDGHKL,A,D,C,K,B,H,G,L
ABCDGIJK,A,C,I,K,B,J,G,D
ABCDGIJL,A,D,C,I,B,J,G,L
ABCDGIKL,A,D,C,K,B,I,G,L
ABCDGJKL,A,D,C,K,B,J,G,L
ABCDHIJK,A,C,H,K,B,I,J,D
ABCDHIJL,A,D,C,H,B,I,J,L
ABCDHIKL,A,D,C,K,B,H,I,L
ABCDHJKL,A,D,C,K,B,H,J,L
ABCDIJKL,A,D,C,K,B,I,J,L
ABCEFGHI,A,C,F,E,B,H,G,I
ABCEFGHJ,A,C,F,E,B,H,G,J
ABCEFGHK,A,C,F,K,B,H,G,E
ABCEFGHL,A,C,F,E,B,H,G,L
ABCEFGIJ,A,C,F,E,B,I,G,J
ABCEFGIK,A,C,F,K,B,E,G,I
ABCEFGIL,A,C,F,E,B,I,G,L
ABCEFGJK,A,C,F,K,B,E,G,J
ABCEFGJL,A,C,F,E,B,J,G,L
ABCEFGKL,A,C,F,K,B,E,G,L
ABCEFHIJ,A,C,E,H,B,I,F,J
ABCEFHIK,A,C,E,K,B,H,F,I
ABCEFHIL,A,C,E,H,B,I,F,L
ABCEFHJK,A,C,E,K,B,H,F,J
ABCEFHJL,A,C,E,H,B,J,F,L
ABCEFHKL,A,C,E,K,B,H,F,L
ABCEFIJK,A,C,E,K,B,I,F,J
ABCEFIJL,A,C,E,I,B,J,F,L
ABCEFIKL,A,C,E,K,B,I,F,L
ABCEFJKL,A,C,E,K,B,J,F,L
ABCEGHIJ,A,C,E,H,B,I,G,J
ABCEGHIK,A,C,E,K,B,H,G,I
ABCEGHIL,A,C,E,H,B,I,G,L
ABCEGHJK,A,C,E,K,B,H,G,J
ABCEGHJL,A,C,E,H,B,J,G,L
ABCEGHKL,A,C,E,K,B,H,G,L
ABCEGIJK,A,C,E,K,B,I,G,J
ABCEGIJL,A,C,E,I,B,J,G,L
ABCEGIKL,A,C,E,K,B,I,G,L
ABCEGJKL,A,C,E,K,B,J,G,L
ABCEHIJK,A,C,E,K,B,H,I,J
ABCEHIJL,A,C,E,H,B,I,J,L
ABCEHIKL,A,C,E,K,B,H,I,L
ABCEHJKL,A,C,E,K,B,H,J,L
ABCEIJKL,A,C,E,K,B,I,J,L
ABCFGHIJ,A,C,F,H,B,I,G,J
ABCFGHIK,A,C,F,K,B,H,G,I
ABCFGHIL,A,C,F,H,B,I,G,L
ABCFGHJK,A,C,F,K,B,H,G,J
ABCFGHJL,A,C,F,H,B,J,G,L
ABCFGHKL,A,C,F,K,B,H,G,L
ABCFGIJK,A,C,F,K,B,I,G,J
ABCFGIJL,A,C,F,I,B,J,G,L
ABCFGIKL,A,C,F,K,B,I,G,L
ABCFGJKL,A,C,F,K,B,J,G,L
ABCFHIJK,A,C,F,K,B,H,I,J
ABCFHIJL,A,C,F,H,B,I,J,L
ABCFHIKL,A,C,F,K,B,H,I,L
ABCFHJKL,A,C,F,K,B,H,J,L
ABCFIJKL,A,C,F,K,B,I,J,L
ABCGHIJK,A,C,H,K,B,I,G,J
ABCGHIJL,A,C,H,I,B,J,G,L
ABCGHIKL,A,C,H,K,B,I,G,L
ABCGHJKL,A,C,H,K,B,J,G,L
ABCGIJKL,A,C,I,K,B,J,G,L
ABCHIJKL,A,C,H,K,B,I,J,L
ABDEFGHI,A,D,F,E,B,H,G,I
ABDEFGHJ,A,D,F,E,B,H,G,J
ABDEFGHK,A,D,F,K,B,H,G,E
ABDEFGHL,A,D,F,E,B,H,G,L
ABDEFGIJ,A,D,F,E,B,I,G,J
ABDEFGIK,A,D,F,K,B,E,G,I
ABDEFGIL,A,D,F,E,B,I,G,L
ABDEFGJK,A,D,F,K,B,E,G,J
ABDEFGJL,A,D,F,E,B,J,G,L
ABDEFGKL,A,D,F,K,B,E,G,L
ABDEFHIJ,A,D,E,H,B,I,F,J
ABDEFHIK,A,D,E,K,B,H,F,I
ABDEFHIL,A,D,E,H,B,I,F,L
ABDEFHJK,A,D,E,K,B,H,F,J
ABDEFHJL,A,D,E,H,B,J,F,L
ABDEFHKL,A,D,E,K,B,H,F,L
ABDEFIJK,A,D,E,K,B,I,F,J
ABDEFIJL,A,D,E,I,B,J,F,L
ABDEFIKL,A,D,E,K,B,I,F,L
ABDEFJKL,A,D,E,K,B,J,F,L
ABDEGHIJ,A,D,E,H,B,I,G,J
ABDEGHIK,A,D,E,K,B,H,G,I
ABDEGHIL,A,D,E,H,B,I,G,L
ABDEGHJK,A,D,E,K,B,H,G,J
ABDEGHJL,A,D,E,H,B,J,G,L
ABDEGHKL,A,D,E,K,B,H,G,L
ABDEGIJK,A,D,E,K,B,I,G,J
ABDEGIJL,A,D,E,I,B,J,G,L
ABDEGIKL,A,D,E,K,B,I,G,L
ABDEGJKL,A,D,E,K,B,J,G,L
ABDEHIJK,A,D,E,K,B,H,I,J
ABDEHIJL,A,D,E,H,B,I,J,L
ABDEHIKL,A,D,E,K,B,H,I,L
ABDEHJKL,A,D,E,K,B,H,J,L
ABDEIJKL,A,D,E,K,B,I,J,L
ABDFGHIJ,A,D,F,H,B,I,G,J
ABDFGHIK,A,D,F,K,B,H,G,I
ABDFGHIL,A,D,F,H,B,I,G,L
ABDFGHJK,A,D,F,K,B,H,G,J
ABDFGHJL,A,D,F,H,B,J,G,L
ABDFGHKL,A,D,F,K,B,H,G,L
ABDFGIJK,A,D,F,K,B,I,G,J
ABDFGIJL,A,D,F,I,B,J,G,L
ABDFGIKL,A,D,F,K,B,I,G,L
ABDFGJKL,A,D,F,K,B,J,G,L
ABDFHIJK,A,D,F,K,B,H,I,J
ABDFHIJL,A,D,F,H,B,I,J,L
ABDFHIKL,A,D,F,K,B,H,I,L
ABDFHJKL,A,D,F,K,B,H,J,L
ABDFIJKL,A,D,F,K,B,I,J,L
ABDGHIJK,A,D,H,K,B,I,G,J
ABDGHIJL,A,D,H,I,B,J,G,L
ABDGHIKL,A,D,H,K,B,I,G,L
ABDGHJKL,A,D,H,K,B,J,G,L
ABDGIJKL,A,D,I,K,B,J,G,L
ABDHIJKL,A,D,H,K,B,I,J,L
ABEFGHIJ,A,F,E,H,B,I,G,J
ABEFGHIK,A,F,E,K,B,H,G,I
ABEFGHIL,A,F,E,H,B,I,G,L
ABEFGHJK,A,F,E,K,B,H,G,J
ABEFGHJL,A,F,E,H,B,J,G,L
ABEFGHKL,A,F,E,K,B,H,G,L
ABEFGIJK,A,F,E,K,B,I,G,J
ABEFGIJL,A,F,E,I,B,J,G,L
ABEFGIKL,A,F,E,K,B,I,G,L
ABEFGJKL,A,F,E,K,B,J,G,L
ABEFHIJK,A,F,E,K,B,H,I,J
ABEFHIJL,A,F,E,H,B,I,J,L
ABEFHIKL,A,F,E,K,B,H,I,L
ABEFHJKL,A,F,E,K,B,H,J,L
ABEFIJKL,A,F,E,K,B,I,J,L
ABEGHIJK,A,G,E,K,B,H,I,J
ABEGHIJL,A,G,E,H,B,I,J,L
ABEGHIKL,A,G,E,K,B,H,I,L
ABEGHJKL,A,G,E,K,B,H,J,L
ABEGIJKL,A,G,E,K,B,I,J,L
ABEHIJKL,A,H,E,K,B,I,J,L
ABFGHIJK,A,F,H,K,B,I,G,J
ABFGHIJL,A,F,H,I,B,J,G,L
ABFGHIKL,A,F,H,K,B,I,G,L
ABFGHJKL,A,F,H,K,B,J,G,L
ABFGIJKL,A,F,I,K,B,J,G,L
ABFHIJKL,A,F,H,K,B,I,J,L
ABGHIJKL,A,G,H,K,B,I,J,L
ACDEFGHI,A,C,E,H,F,I,G,D
ACDEFGHJ,A,C,E,H,F,J,G,D
ACDEFGHK,A,C,E,K,F,H,G,D
ACDEFGHL,A,D,C,E,F,H,G,L
ACDEFGIJ,A,C,E,I,F,J,G,D
ACDEFGIK,A,C,E,K,F,I,G,D
ACDEFGIL,A,D,C,E,F,I,G,L
ACDEFGJK,A,C,E,K,F,J,G,D
ACDEFGJL,A,D,C,E,F,J,G,L
ACDEFGKL,A,D,C,K,F,E,G,L
ACDEFHIJ,A,C,E,H,F,I,J,D
ACDEFHIK,A,C,E,K,F,H,I,D
ACDEFHIL,A,D,C,E,F,H,I,L
ACDEFHJK,A,C,E,K,F,H,J,D
ACDEFHJL,A,D,C,E,F,H,J,L
ACDEFHKL,A,D,C,K,E,H,F,L
ACDEFIJK,A,C,E,K,F,I,J,D
ACDEFIJL,A,D,C,E,F,I,J,L
ACDEFIKL,A,D,C,K,E,I,F,L
ACDEFJKL,A,D,C,K,E,J,F,L
ACDEGHIJ,A,C,E,H,I,J,G,D
ACDEGHIK,A,C,E,K,I,H,G,D
ACDEGHIL,A,D,C,E,I,H,G,L
ACDEGHJK,A,C,E,K,J,H,G,D
ACDEGHJL,A,D,C,E,J,H,G,L
ACDEGHKL,A,D,C,K,E,H,G,L
ACDEGIJK,A,C,E,K,I,J,G,D
ACDEGIJL,A,D,C,E,I,J,G,L
ACDEGIKL,A,D,C,K,E,I,G,L
ACDEGJKL,A,D,C,K,E,J,G,L
ACDEHIJK,A,C,E,K,I,H,J,D
ACDEHIJL,A,D,C,E,I,H,J,L
ACDEHIKL,A,D,C,K,E,H,I,L
ACDEHJKL,A,D,C,K,E,H,J,L
ACDEIJKL,A,D,C,K,E,I,J,L
ACDFGHIJ,A,C,F,H,I,J,G,D
ACDFGHIK,A,C,F,K,I,H,G,D
ACDFGHIL,A,D,C,H,F,I,G,L
ACDFGHJK,A,C,F,K,J,H,G,D
ACDFGHJL,A,D,C,H,F,J,G,L
ACDFGHKL,A,D,C,K,F,H,G,L
ACDFGIJK,A,C,F,K,I,J,G,D
ACDFGIJL,A,D,C,I,F,J,G,L
ACDFGIKL,A,D,C,K,F,I,G,L
ACDFGJKL,A,D,C,K,F,J,G,L
ACDFHIJK,A,C,F,K,I,H,J,D
ACDFHIJL,A,D,C,H,F,I,J,L
ACDFHIKL,A,D,C,K,F,H,I,L
ACDFHJKL,A,D,C,K,F,H,J,L
ACDFIJKL,A,D,C,K,F,I,J,L
ACDGHIJK,A,C,H,K,I,J,G,D
ACDGHIJL,A,D,C,H,I,J,G,L
ACDGHIKL,A,D,C,K,I,H,G,L
ACDGHJKL,A,D,C,K,J,H,G,L
ACDGIJKL,A,D,C,K,I,J,G,L
ACDHIJKL,A,D,C,K,I,H,J,L
ACEFGHIJ,A,C,E,H,F,I,G,J
ACEFGHIK,A,C,E,K,F,H,G,I
ACEFGHIL,A,C,E,H,F,I,G,L
ACEFGHJK,A,C,E,K,F,H,G,J
ACEFGHJL,A,C,E,H,F,J,G,L
ACEFGHKL,A,C,E,K,F,H,G,L
ACEFGIJK,A,C,E,K,F,I,G,J
ACEFGIJL,A,C,E,I,F,J,G,L
ACEFGIKL,A,C,E,K,F,I,G,L
ACEFGJKL,A,C,E,K,F,J,G,L
ACEFHIJK,A,C,E,K,F,H,I,J
ACEFHIJL,A,C,E,H,F,I,J,L
ACEFHIKL,A,C,E,K,F,H,I,L
ACEFHJKL,A,C,E,K,F,H,J,L
ACEFIJKL,A,C,E,K,F,I,J,L
ACEGHIJK,A,C,E,K,I,H,G,J
ACEGHIJL,A,C,E,H,I,J,G,L
ACEGHIKL,A,C,E,K,I,H,G,L
ACEGHJKL,A,C,E,K,J,H,G,L
ACEGIJKL,A,C,E,K,I,J,G,L
ACEHIJKL,A,C,E,K,I,H,J,L
ACFGHIJK,A,C,F,K,I,H,G,J
ACFGHIJL,A,C,F,H,I,J,G,L
ACFGHIKL,A,C,F,K,I,H,G,L
ACFGHJKL,A,C,F,K,J,H,G,L
ACFGIJKL,A,C,F,K,I,J,G,L
ACFHIJKL,A,C,F,K,I,H,J,L
ACGHIJKL,A,C,H,K,I,J,G,L
ADEFGHIJ,A,D,E,H,F,I,G,J
ADEFGHIK,A,D,E,K,F,H,G,I
ADEFGHIL,A,D,E,H,F,I,G,L
ADEFGHJK,A,D,E,K,F,H,G,J
ADEFGHJL,A,D,E,H,F,J,G,L
ADEFGHKL,A,D,E,K,F,H,G,L
ADEFGIJK,A,D,E,K,F,I,G,J
ADEFGIJL,A,D,E,I,F,J,G,L
ADEFGIKL,A,D,E,K,F,I,G,L
ADEFGJKL,A,D,E,K,F,J,G,L
ADEFHIJK,A,D,E,K,F,H,I,J
ADEFHIJL,A,D,E,H,F,I,J,L
ADEFHIKL,A,D,E,K,F,H,I,L
ADEFHJKL,A,D,E,K,F,H,J,L
ADEFIJKL,A,D,E,K,F,I,J,L
ADEGHIJK,A,D,E,K,I,H,G,J
ADEGHIJL,A,D,E,H,I,J,G,L
ADEGHIKL,A,D,E,K,I,H,G,L
ADEGHJKL,A,D,E,K,J,H,G,L
ADEGIJKL,A,D,E,K,I,J,G,L
ADEHIJKL,A,D,E,K,I,H,J,L
ADFGHIJK,A,D,F,K,I,H,G,J
ADFGHIJL,A,D,F,H,I,J,G,L
ADFGHIKL,A,D,F,K,I,H,G,L
ADFGHJKL,A,D,F,K,J,H,G,L
ADFGIJKL,A,D,F,K,I,J,G,L
ADFHIJKL,A,D,F,K,I,H,J,L
ADGHIJKL,A,D,H,K,I,J,G,L
AEFGHIJK,A,F,E,K,I,H,G,J
AEFGHIJL,A,F,E,H,I,J,G,L
AEFGHIKL,A,F,E,K,I,H,G,L
AEFGHJKL,A,F,E,K,J,H,G,L
AEFGIJKL,A,F,E,K,I,J,G,L
AEFHIJKL,A,F,E,K,I,H,J,L
AEGHIJKL,A,G,E,K,I,H,J,L
AFGHIJKL,A,F,H,K,I,J,G,L
BCDEFGHI,B,C,E,H,F,I,G,D
BCDEFGHJ,B,C,E,H,F,J,G,D
BCDEFGHK,B,C,E,K,F,H,G,D
BCDEFGHL,B,D,C,E,F,H,G,L
BCDEFGIJ,B,C,E,I,F,J,G,D
BCDEFGIK,B,C,E,K,F,I,G,D
BCDEFGIL,B,D,C,E,F,I,G,L
BCDEFGJK,B,C,E,K,F,J,G,D
BCDEFGJL,B,D,C,E,F,J,G,L
BCDEFGKL,B,D,C,K,F,E,G,L
BCDEFHIJ,B,C,E,H,F,I,J,D
BCDEFHIK,B,C,E,K,F,H,I,D
BCDEFHIL,B,D,C,E,F,H,I,L
BCDEFHJK,B,C,E,K,F,H,J,D
BCDEFHJL,B,D,C,E,F,H,J,L
BCDEFHKL,B,D,C,K,E,H,F,L
BCDEFIJK,B,C,E,K,F,I,J,D
BCDEFIJL,B,D,C,E,F,I,J,L
BCDEFIKL,B,D,C,K,E,I,F,L
BCDEFJKL,B,D,C,K,E,J,F,L
BCDEGHIJ,B,C,E,H,I,J,G,D
BCDEGHIK,B,C,E,K,I,H,G,D
BCDEGHIL,B,D,C,E,I,H,G,L
BCDEGHJK,B,C,E,K,J,H,G,D
BCDEGHJL,B,D,C,E,J,H,G,L
BCDEGHKL,B,D,C,K,E,H,G,L
BCDEGIJK,B,C,E,K,I,J,G,D
BCDEGIJL,B,D,C,E,I,J,G,L
BCDEGIKL,B,D,C,K,E,I,G,L
BCDEGJKL,B,D,C,K,E,J,G,L
BCDEHIJK,B,C,E,K,I,H,J,D
BCDEHIJL,B,D,C,E,I,H,J,L
BCDEHIKL,B,D,C,K,E,H,I,L
BCDEHJKL,B,D,C,K,E,H,J,L
BCDEIJKL,B,D,C,K,E,I,J,L
BCDFGHIJ,B,C,F,H,I,J,G,D
BCDFGHIK,B,C,F,K,I,H,G,D
BCDFGHIL,B,D,C,H,F,I,G,L
BCDFGHJK,B,C,F,K,J,H,G,D
BCDFGHJL,B,D,C,H,F,J,G,L
BCDFGHKL,B,D,C,K,F,H,G,L
BCDFGIJK,B,C,F,K,I,J,G,D
BCDFGIJL,B,D,C,I,F,J,G,L
BCDFGIKL,B,D,C,K,F,I,G,L
BCDFGJKL,B,D,C,K,F,J,G,L
BCDFHIJK,B,C,F,K,I,H,J,D
BCDFHIJL,B,D,C,H,F,I,J,L
BCDFHIKL,B,D,C,K,F,H,I,L
BCDFHJKL,B,D,C,K,F,H,J,L
BCDFIJKL,B,D,C,K,F,I,J,L
BCDGHIJK,B,C,H,K,I,J,G,D
BCDGHIJL,B,D,C,H,I,J,G,L
BCDGHIKL,B,D,C,K,I,H,G,L
BCDGHJKL,B,D,C,K,J,H,G,L
BCDGIJKL,B,D,C,K,I,J,G,L
BCDHIJKL,B,D,C,K,I,H,J,L
BCEFGHIJ,B,C,E,H,F,I,G,J
BCEFGHIK,B,C,E,K,F,H,G,I
BCEFGHIL,B,C,E,H,F,I,G,L
BCEFGHJK,B,C,E,K,F,H,G,J
BCEFGHJL,B,C,E,H,F,J,G,L
BCEFGHKL,B,C,E,K,F,H,G,L
BCEFGIJK,B,C,E,K,F,I,G,J
BCEFGIJL,B,C,E,I,F,J,G,L
BCEFGIKL,B,C,E,K,F,I,G,L
BCEFGJKL,B,C,E,K,F,J,G,L
BCEFHIJK,B,C,E,K,F,H,I,J
BCEFHIJL,B,C,E,H,F,I,J,L
BCEFHIKL,B,C,E,K,F,H,I,L
BCEFHJKL,B,C,E,K,F,H,J,L
BCEFIJKL,B,C,E,K,F,I,J,L
BCEGHIJK,B,C,E,K,I,H,G,J
BCEGHIJL,B,C,E,H,I,J,G,L
BCEGHIKL,B,C,E,K,I,H,G,L
BCEGHJKL,B,C,E,K,J,H,G,L
BCEGIJKL,B,C,E,K,I,J,G,L
BCEHIJKL,B,C,E,K,I,H,J,L
BCFGHIJK,B,C,F,K,I,H,G,J
BCFGHIJL,B,C,F,H,I,J,G,L
BCFGHIKL,B,C,F,K,I,H,G,L
BCFGHJKL,B,C,F,K,J,H,G,L
BCFGIJKL,B,C,F,K,I,J,G,L
BCFHIJKL,B,C,F,K,I,H,J,L
BCGHIJKL,B,C,H,K,I,J,G,L
BDEFGHIJ,B,D,E,H,F,I,G,J
BDEFGHIK,B,D,E,K,F,H,G,I
BDEFGHIL,B,D,E,H,F,I,G,L
BDEFGHJK,B,D,E,K,F,H,G,J
BDEFGHJL,B,D,E,H,F,J,G,L
BDEFGHKL,B,D,E,K,F,H,G,L
BDEFGIJK,B,D,E,K,F,I,G,J
BDEFGIJL,B,D,E,I,F,J,G,L
BDEFGIKL,B,D,E,K,F,I,G,L
BDEFGJKL,B,D,E,K,F,J,G,L
BDEFHIJK,B,D,E,K,F,H,I,J
BDEFHIJL,B,D,E,H,F,I,J,L
BDEFHIKL,B,D,E,K,F,H,I,L
BDEFHJKL,B,D,E,K,F,H,J,L
BDEFIJKL,B,D,E,K,F,I,J,L
BDEGHIJK,B,D,E,K,I,H,G,J
BDEGHIJL,B,D,E,H,I,J,G,L
BDEGHIKL,B,D,E,K,I,H,G,L
BDEGHJKL,B,D,E,K,J,H,G,L
BDEGIJKL,B,D,E,K,I,J,G,L
BDEHIJKL,B,D,E,K,I,H,J,L
BDFGHIJK,B,D,F,K,I,H,G,J
BDFGHIJL,B,D,F,H,I,J,G,L
BDFGHIKL,B,D,F,K,I,H,G,L
BDFGHJKL,B,D,F,K,J,H,G,L
BDFGIJKL,B,D,F,K,I,J,G,L
BDFHIJKL,B,D,F,K,I,H,J,L
BDGHIJKL,B,D,H,K,I,J,G,L
BEFGHIJK,B,F,E,K,I,H,G,J
BEFGHIJL,B,F,E,H,I,J,G,L
BEFGHIKL,B,F,E,K,I,H,G,L
BEFGHJKL,B,F,E,K,J,H,G,L
BEFGIJKL,B,F,E,K,I,J,G,L
BEFHIJKL,B,F,E,K,I,H,J,L
BEGHIJKL,B,G,E,K,I,H,J,L
BFGHIJKL,B,F,H,K,I,J,G,L
CDEFGHIJ,C,D,E,H,F,I,G,J
CDEFGHIK,C,D,E,K,F,H,G,I
CDEFGHIL,C,D,E,H,F,I,G,L
CDEFGHJK,C,D,E,K,F,H,G,J
CDEFGHJL,C,D,E,H,F,J,G,L
CDEFGHKL,C,D,E,K,F,H,G,L
CDEFGIJK,C,D,E,K,F,I,G,J
CDEFGIJL,C,D,E,I,F,J,G,L
CDEFGIKL,C,D,E,K,F,I,G,L
CDEFGJKL,C,D,E,K,F,J,G,L
CDEFHIJK,C,D,E,K,F,H,I,J
CDEFHIJL,C,D,E,H,F,I,J,L
CDEFHIKL,C,D,E,K,F,H,I,L
CDEFHJKL,C,D,E,K,F,H,J,L
CDEFIJKL,C,D,E,K,F,I,J,L
CDEGHIJK,C,D,E,K,I,H,G,J
CDEGHIJL,C,D,E,H,I,J,G,L
CDEGHIKL,C,D,E,K,I,H,G,L
CDEGHJKL,C,D,E,K,J,H,G,L
CDEGIJKL,C,D,E,K,I,J,G,L
CDEHIJKL,C,D,E,K,I,H,J,L
CDFGHIJK,C,D,F,K,I,H,G,J
CDFGHIJL,C,D,F,H,I,J,G,L
CDFGHIKL,C,D,F,K,I,H,G,L
CDFGHJKL,C,D,F,K,J,H,G,L
CDFGIJKL,C,D,F,K,I,J,G,L
CDFHIJKL,C,D,F,K,I,H,J,L
CDGHIJKL,C,D,H,K,I,J,G,L
CEFGHIJK,C,F,E,K,I,H,G,J
CEFGHIJL,C,F,E,H,I,J,G,L
CEFGHIKL,C,F,E,K,I,H,G,L
CEFGHJKL,C,F,E,K,J,H,G,L
CEFGIJKL,C,F,E,K,I,J,G,L
CEFHIJKL,C,F,E,K,I,H,J,L
CEGHIJKL,C,G,E,K,I,H,J,L
CFGHIJKL,C,F,H,K,I,J,G,L
DEFGHIJK,D,F,E,K,I,H,G,J
DEFGHIJL,D,F,E,H,I,J,G,L
DEFGHIKL,D,F,E,K,I,H,G,L
DEFGHJKL,D,F,E,K,J,H,G,L
DEFGIJKL,D,F,E,K,I,J,G,L
DEFHIJKL,D,F,E,K,I,H,J,L
DEGHIJKL,D,G,E,K,I,H,J,L
DFGHIJKL,D,F,H,K,I,J,G,L
EFGHIJKL,F,G,E,K,I,H,J,L
